#Software: Microsoft Log Parser
#Version: 1.0
#Date: 2012-09-22 00:19:06
#Fields: LogFilename RecordNumber ComputerName SiteID DateTime ClientIpAddress ServerIpAddress ServerPort Method ProtocolVersion ProtocolStatus SubStatus TimeTaken BytesSent BytesReceived Win32Status UriStem UriQuery UserName
d:\iislog\W3SVC\ra120921.ibl 684280 USER-2E87126D0E 830030000 2012-09-21 13:43:32 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 404 0 46 0 236 64 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 684509 USER-2E87126D0E 830030000 2012-09-21 13:43:50 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 46 208 371 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 685820 USER-2E87126D0E 830030000 2012-09-21 13:45:18 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 200 0 109 616 214 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685821 USER-2E87126D0E 830030000 2012-09-21 13:45:18 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 218 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685838 USER-2E87126D0E 830030000 2012-09-21 13:45:19 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 156 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685841 USER-2E87126D0E 830030000 2012-09-21 13:45:19 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 156 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685843 USER-2E87126D0E 830030000 2012-09-21 13:45:20 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 156 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685848 USER-2E87126D0E 830030000 2012-09-21 13:45:20 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 187 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685854 USER-2E87126D0E 830030000 2012-09-21 13:45:20 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 125 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685855 USER-2E87126D0E 830030000 2012-09-21 13:45:20 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 156 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685861 USER-2E87126D0E 830030000 2012-09-21 13:45:20 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 156 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685863 USER-2E87126D0E 830030000 2012-09-21 13:45:20 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 156 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685865 USER-2E87126D0E 830030000 2012-09-21 13:45:21 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 156 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685867 USER-2E87126D0E 830030000 2012-09-21 13:45:21 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 171 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685869 USER-2E87126D0E 830030000 2012-09-21 13:45:21 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 156 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685873 USER-2E87126D0E 830030000 2012-09-21 13:45:21 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 171 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685878 USER-2E87126D0E 830030000 2012-09-21 13:45:21 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 171 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685888 USER-2E87126D0E 830030000 2012-09-21 13:45:21 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 156 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685892 USER-2E87126D0E 830030000 2012-09-21 13:45:22 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 171 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685900 USER-2E87126D0E 830030000 2012-09-21 13:45:22 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 156 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685907 USER-2E87126D0E 830030000 2012-09-21 13:45:22 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 171 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685909 USER-2E87126D0E 830030000 2012-09-21 13:45:22 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 156 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685915 USER-2E87126D0E 830030000 2012-09-21 13:45:22 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 171 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685916 USER-2E87126D0E 830030000 2012-09-21 13:45:22 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 187 268 301 0 /index.html - -
